2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=({'a': 1},) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(1,) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(-1,) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(None,) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('foo',) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(0,) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=({},) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('[]',) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(3.14,) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(0,) kwargs={} | duration_ms=0
2025-04-23 23:16:50,498 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=({},) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(None,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('null',) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(-1,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(-1,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('null',) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('[]',) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(None,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(0,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(0,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('[]',) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('[]',) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(1,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(None,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(0,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(3.14,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(False,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: UnboundLocalError | args=('null',) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=([1, 2, 3],) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(-1,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=([1, 2, 3],) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=([1, 2, 3],) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=([],) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=({},) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(1,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=([1, 2, 3],) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(3.14,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(3.14,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(False,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(-1,) kwargs={} | duration_ms=0
2025-04-23 23:27:08,623 INFO scanner.runScanner | status=EXCEPTION: TypeError | args=(3.14,) kwargs={} | duration_ms=0
2025-04-24 17:39:22,756 INFO parser.loadMultiYAML | status=OK | args=('TEST_ARTIFACTS/absent.default1.yaml',) kwargs={} | duration_ms=5
